##### B s1 plain
rope_ntk=False rope_ref_len=1024
  1024       22.91      4
  2048       28.93      2
  4096       42.65      1
  8192       96.94      1
 16384      252.11      1
##### B s1 --ntk
rope_ntk=True rope_ref_len=1024
  1024       22.91      4
  2048       24.49      2
  4096       27.48      1
  8192       34.37      1
 16384       51.90      1
##### Jm s1 c=0
cross_scale_s=0.0 cross_shift_c=0.0 cross_scale_ref=32.0
  1024       22.81      4
  2048       23.67      2
  4096       29.83      1
  8192       66.04      1
 16384      167.86      1
##### Jm s1 c=1.0
cross_scale_s=0.0 cross_shift_c=1.0 cross_scale_ref=32.0
  1024       22.82      4
  2048       23.66      2
  4096       23.64      1
  8192       26.76      1
 16384       36.92      1
##### Jm s1 c=1.5
cross_scale_s=0.0 cross_shift_c=1.5 cross_scale_ref=32.0
  1024       22.82      4
  2048       23.73      2
  4096       23.59      1
  8192       25.20      1
 16384       30.88      1
##### Jmr s1 c=0
cross_scale_s=0.0 cross_shift_c=0.0 cross_scale_ref=32.0
  1024       24.40      4
  2048       25.45      2
  4096       29.09      1
  8192       61.79      1
 16384      178.80      1
##### Jmr s1 c=1.0
cross_scale_s=0.0 cross_shift_c=1.0 cross_scale_ref=32.0
  1024       24.40      4
  2048       25.44      2
  4096       25.50      1
  8192       29.39      1
 16384       43.14      1
##### Jmr s1 c=1.5
cross_scale_s=0.0 cross_shift_c=1.5 cross_scale_ref=32.0
  1024       24.40      4
  2048       25.48      2
  4096       25.21      1
  8192       26.70      1
 16384       32.54      1
